Name,URL,Collection,Opening Hours,Address,Latitude,Longitude,Price Range,Alcohol,Rating,Rating Count
Foo Inorbit,/hyderabad/foo-inorbit-madhapur,World Cuisine,12noon – 12midnight (Today),"Level 4, Inorbit Mall Cyberabad, Apiic Software Layout, Madhapur, Hyderabad",17.43478702,78.38650911,"2,000",No,4.5,817
Nove - The Italian Kitchen,/hyderabad/nove-the-italian-kitchen-banjara-hills,World Cuisine,12noon – 10:45pm (Today),"Door 28/1/2/1, M.L.A Colony, Road 12, Banjara Hills, Hyderabad",17.4116502,78.42888826,"1,700",No,4.7,697
Prego - The Westin,/hyderabad/prego-the-westin-hitech-city,World Cuisine,"12:30pm – 3pm, 7pm – 11pm (Today)","Survey 64, The Westin, Building 15 K Raheja, Mindspace It Park, Apiic Software Layout, Hitech City, Hyderabad",17.441877,78.3817705,"4,000",No,4.2,663
Broadway,/hyderabad/broadway-jubilee-hills,World Cuisine,12noon – 11:30pm (Today),"8-2-293/82/A/1017, Kavuri Hills, Near Jubilee Hills, Hyderabad",17.42878632,78.40363227,"3,000",Yes,4.2,2441
The Glass Onion,/hyderabad/the-glass-onion-gachibowli,World Cuisine,12noon – 10:30pm (Today),"Survey 6 to 11, 19 to 24 P, 37, 38, 40, 41, 49, Nanakramguda Village, Serilingampally, R.R. District, Gachibowli, Hyderabad",17.43202533,78.35369159,"2,500",No,4.2,4196
The Glass House- Progressive Kitchen & Cocktail Bar,/hyderabad/the-glass-house-progressive-kitchen-cocktail-bar-jubilee-hills,World Cuisine,12noon – 11pm (Today),"403/1, Door 8-2-293/82/A/1059, Plot 1059, Road 53, Jubilee Hills, Hyderabad",17.42746296,78.40538979,"1,500",No,4.2,959
Chili's American Grill & Bar,/hyderabad/chilis-american-grill-bar-hitech-city,World Cuisine,12noon – 11pm (Today),"F 48, 1st Floor, Inorbit Mall, Hitech City, Hyderabad",17.43389319,78.38662807,"1,800",No,4.4,8489
Tre-Forni Restaurant And Bar - Park Hyatt,/hyderabad/tre-forni-restaurant-and-bar-park-hyatt-banjara-hills,World Cuisine,"12noon – 3pm, 7pm – 11pm (Today)","Park Hyatt, Road 2, Banjara Hills, Hyderabad",17.4244624,78.4296309,"7,000",No,4.8,690
Cara Cara,/hyderabad/cara-cara-jubilee-hills,World Cuisine,12noon – 11:30pm (Today),"8th Floor, CBI Colony, Jubilee Hills, Hyderabad",17.43748386,78.39822567,"2,500",Yes,4.3,259
Gaurang's Kitchen,/hyderabad/gaurangs-kitchen-jubilee-hills,Pure Veg Restaurants,12noon – 10pm (Today),"Plot 1147, Road 59, Jubilee Hills, Hyderabad",17.429082,78.40903,"1,400",No,4.1,260
The Symphony,/hyderabad/the-symphony-4-film-nagar,Pure Veg Restaurants,"12:30pm – 4pm, 7pm – 11pm (Today)","Plot 381-111, Survey 403/1 Old 120 New, Serial 102/1, 2nd Floor, Jubliee Hills, Film Nagar, Hyderabad",17.414253,78.40686305,"1,000",No,4.4,397
Sattvam,/hyderabad/sattvam-banjara-hills,Pure Veg Restaurants,"12noon – 3:30pm, 7:30pm – 11pm (Today)","Door 8-2-120/86/9/A/1, 2, 12 & 13, 2nd Floor, Road 2, Banjara Hills, Hyderabad",17.42399505,78.42969365,250,No,4.5,435
Little Italy,/hyderabad/little-italy-jubilee-hills,Pure Veg Restaurants,"12noon – 3pm, 7pm – 11pm (Today)","Door 8-2-293/82/JIII/550F, HDN-1306, 3rd Floor, Aryans Building, Road 92, Jubilee Hills, Hyderabad",17.41631492,78.41700308,"1,700",No,4.3,1546
Tatva,/hyderabad/tatva-jubilee-hills,Pure Veg Restaurants,"12noon – 3:30pm, 7pm – 11pm (Today)","1st Floor,SL Jubilee, Road 36, Jubilee Hills, Hyderabad",17.42948431,78.41021173,"1,900",No,4.4,1831
Thyme & Whisk,/hyderabad/thyme-whisk-jubilee-hills,Pure Veg Restaurants,11am – 11pm (Today),"Shop 3 & 4, House 8-2-293/82/A/245, 1st Floor, Apurupa, Road 36, Jubilee Hills, Hyderabad",17.4303415,78.4116059,"1,400",No,4.3,440
Signature Grills,/hyderabad/signature-grills-necklace-road,Pure Veg Restaurants,12noon – 4:30am (Today),"Door No.22/9, Necklace Road, Hussain Sagar, Khairtabad, Hyderabad, Khairatabad Circle No.17, Hyderabad, Telangana-500063, Necklace Road, Hyderabad",17.4354103,78.4744097,"1,600",No,4.4,3863
Jalpaan,/hyderabad/jalpaan-begumpet,Pure Veg Restaurants,"12noon – 3:30pm, 7pm – 10:30pm (Today)","63, 112, 4th Floor, Oasis Center, Somajiguda Main Road, Opposite Kalanekatan Wedding Mall, Begumpet, Hyderabad",17.43029969,78.45668301,"1,600",No,4.1,2870
Ishtaa,/hyderabad/ishtaa-gachibowli,Pure Veg Restaurants,"6:30am – 3:15pm, 6:15pm – 10:15pm (Today)","Survey 53, Ground Floor & 1st Floor, Club House Building, NCC Urban Gardenia, Serilingampally, Gachibowli, Hyderabad",17.43476461,78.37417408,700,No,4.2,2204
Rajthali,/hyderabad/rajthali-himayath-nagar,Pure Veg Restaurants,"12noon – 3:30pm, 7pm – 10:30pm (Today)","3-6-288/3, Sri Sivarama Towers, King Koti, Avanti Nagar, Near MLA Quarters, Himayath Nagar, Hyderabad",17.3985841,78.4822316,"1,000",No,4.2,366
Itlu,/hyderabad/itlu-3-jubilee-hills,Pure Veg Restaurants,7:30am – 10:45pm (Today),"Road 45, CBI Colony, Masthan Nagar, Jubilee Hills, Hyderabad",17.43178777,78.40009209,"1,000",No,4.2,905
Roastery Coffee House,/hyderabad/roastery-coffee-house-1-banjara-hills,Pet-Friendly Restaurants,8am – 12midnight (Today),"House 418, 8/2/287/12, Road 14, Banjara Hills, Hyderabad",17.4233634,78.4315417,950,No,4.4,7378
Ironhill Cafe,/hyderabad/ironhill-cafe-madhapur,Pet-Friendly Restaurants,8am – 12midnight (Today),"1-120/11/2, Madhapur, Hyderabad",17.44545374,78.38442497,700,No,4.1,2632
The Hole In The Wall Cafe,/hyderabad/the-hole-in-the-wall-cafe-jubilee-hills,Pet-Friendly Restaurants,8:30am – 4pm (Today),"8-2-293/82/A/1355/F, Road 45, Jubilee Hills, Hyderabad",17.42381399,78.41021743,850,No,4,2321
PS Cheese Cafe,/hyderabad/ps-cheese-cafe-madhapur,Pet-Friendly Restaurants,10am – 12midnight (Today),"1-65/536, Kavuri Hills Road, Madhapur, Hyderabad",17.4427414,78.396553,"1,100",No,4.5,2476
Groove 9,/hyderabad/groove-9-sainikpuri-secunderabad,Pet-Friendly Restaurants,10am – 11pm (Today),"A1, 1st Avenue, Sainikpuri, Secunderabad",17.48498505,78.54754653,850,No,3.8,1261
Sobremesa- Bakehouse Cafe Kitchen,/hyderabad/sobremesa-bakehouse-cafe-kitchen-jubilee-hills,Pet-Friendly Restaurants,11am – 10:30pm (Today),"8-2-293/82/A/593, Road 31, Jubilee Hills, Hyderabad",17.43623648,78.40538958,"1,800",No,4.4,1092
Tiger Lily Bistro,/hyderabad/tiger-lily-bistro-1-jubilee-hills,Pet-Friendly Restaurants,12noon – 1am (Today),"272, 8-2-293\82\A\272, Circle 10, Road 25, Jubilee Hills, Hyderabad",17.43573055,78.41038406,"2,500",No,4.3,1768
The Pet Cafe,/hyderabad/the-pet-cafe-banjara-hills,Pet-Friendly Restaurants,12noon – 9pm (Today),"House 8-2-684/1/9/1, Street 4, Banjara Enclave Society Lane, Banjara Hills, Hyderabad",17.4139991,78.4344535,600,No,4.3,110
E'woke - The Vegan Cafe,/hyderabad/ewoke-the-vegan-cafe-sainikpuri-secunderabad,Pet-Friendly Restaurants,8am – 10:30pm (Today),"1-5-B/36, Armed Forces Colony, Kapra, Medchal-Malkajgiri, Sainikpuri, Secunderabad",17.48602147,78.5458906,"1,200",No,4.7,464
